Zipcode,Census_tract
19144,42101023500
19144,42101024000
19144,42101023900
19144,42101024600
19144,42101020600
19144,42101028000
19144,42101038900
19144,42101020500
19144,42101023700
19144,42101020400
19144,42101025200
19144,42101024300
19144,42101024700
19144,42101020800
19145,42101003002
19145,42101980900
19145,42101003100
19145,42101003001
19145,42101980600
19145,42101003901
19145,42101003300
19145,42101003702
19145,42101003800
19145,42101037300
19145,42101003200
19145,42101003600
19145,42101003902
19145,42101003701
19146,42101002000
19146,42101001300
19146,42101002200
19146,42101003001
19146,42101001900
19146,42101002900
19146,42101001202
19146,42101002100
19146,42101001201
19146,42101001400
19146,42101003002
19146,42101003300
19146,42101980900
19146,42101003100
19146,42101003200
19147,42101002801
19147,42101002802
19147,42101002300
19147,42101001700
19147,42101001002
19147,42101001800
19147,42101001102
19147,42101001500
19147,42101002702
19147,42101002500
19147,42101980700
19147,42101001001
19147,42101036600
19147,42101002701
19147,42101002400
19147,42101002900
19147,42101001600
19147,42101001101
19148,42101002702
19148,42101002802
19148,42101980600
19148,42101037200
19148,42101004001
19148,42101004102
19148,42101004002
19148,42101002701
19148,42101002900
19148,42101002801
19148,42101980700
19148,42101037300
19148,42101004101
19148,42101004201
19148,42101004202
19149,42101031000
19149,42101031102
19149,42101031501
19149,42101033101
19149,42101031300
19149,42101033200
19149,42101031101
19149,42101031200
19149,42101031402
19149,42101031600
19149,42101031502
19149,42101031700
19149,42101031800
19149,42101039000
19149,42101033500
19149,42101031401
19149,42101030900
19149,42101033400
19150,42091210500
19150,42101026302
19150,42101025900
19150,42091202401
19150,42101026301
19150,42101025600
19150,42101025400
19150,42101025800
19150,42101025500
19150,42101026000
19150,42101038900
19150,42101026200
19150,42101026400
19150,42101026100
19150,42091202500
19151,42101009600
19151,42101011300
19151,42101011500
19151,42101037500
19151,42101011200
19151,42101011400
19151,42101010100
19151,42101980800
19151,42101009500
19151,42101009802
19151,42101010000
19151,42101009801
19152,42101034702
19152,42101033701
19152,42101033300
19152,42101033400
19152,42101034701
19152,42101033600
19152,42101033200
19152,42101033702
19152,42101033500
19152,42101980200
19153,42101005400
19153,42101006000
19153,42101980400
19153,42101005500
19153,42101980900
19153,42045980000
19153,42101005600
19154,42101036100
19154,42101036302
19154,42101980300
19154,42101036203
19154,42101036201
19154,42101036202
19154,42101036400
19154,42101036301
19154,42101036303
